City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,54.18,77,76,1.01,ZA,1659199402
Bredasdorp,-34.5322,20.0403,50.11,88,93,7.43,ZA,1659199404
Chui,-33.6971,-53.4616,59.09,57,0,2.37,UY,1659199407
Fes,34.0372,-4.9998,104.25,19,40,8.05,MA,1659199409
Ushuaia,-54.8,-68.3,44.22,75,40,21.85,AR,1659199214
Qaanaaq,77.484,-69.3632,43.86,65,29,6.49,GL,1659199414
Carutapera,-1.195,-46.02,86.32,61,11,8.97,BR,1659199416
Arraial do Cabo,-22.9661,-42.0278,73.36,53,20,14.97,BR,1659199418
Bluff,-46.6,168.3333,37.8,70,91,11.01,NZ,1659199421
Albany,42.6001,-73.9662,78.24,53,14,3.0,US,1659199185
Bariloche,-41.1456,-71.3082,44.35,57,0,11.5,AR,1659199226
Totoral,-17.4053,-70.365,73.08,22,83,9.53,PE,1659199427
Saint-Philippe,-21.3585,55.7679,67.59,77,41,15.82,RE,1659199430
Airai,-8.9266,125.4092,56.17,92,74,3.06,TL,1659199432
Khovd,48.0056,91.6419,69.89,33,29,6.58,MN,1659199434
Puerto Ayora,-0.7393,-90.3518,75.16,82,88,5.01,EC,1659199280
San Miguel de Tucumán,-26.8241,-65.2226,69.8,43,39,3.44,AR,1659199157
Leningradskiy,69.3833,178.4167,44.71,76,100,5.03,RU,1659199441
Krasnyy Chikoy,50.3643,108.7512,54.97,85,83,1.79,RU,1659199443
Mataura,-46.1927,168.8643,37.47,98,67,3.53,NZ,1659199446
Creston,41.0586,-94.3614,87.71,50,0,5.75,US,1659199448
Punta Arenas,-53.15,-70.9167,44.71,65,75,23.02,CL,1659199422
Yellowknife,62.456,-114.3525,61.32,67,40,5.75,CA,1659199452
Chálki,39.5667,22.5333,91.35,29,0,11.5,GR,1659199455
Kavaratti,10.5669,72.642,81.55,84,91,17.02,IN,1659199457
Hithadhoo,-0.6,73.0833,81.28,76,100,17.22,MV,1659199459
Cape Town,-33.9258,18.4232,55.11,79,75,8.05,ZA,1659199411
Castro,-24.7911,-50.0119,64.29,35,2,3.56,BR,1659199397
Campo Verde,-20.4167,-54.0667,80.29,28,0,2.98,BR,1659199179
Hobart,-42.8794,147.3294,41.27,86,40,8.05,AU,1659199468
Provideniya,64.3833,-173.3,49.33,76,100,1.95,RU,1659199470
Cherskiy,68.75,161.3,49.84,66,68,10.87,RU,1659199473
Mallow,52.1333,-8.6333,65.5,97,99,8.88,IE,1659199475
Busselton,-33.65,115.3333,53.56,65,100,4.68,AU,1659199478
Capalonga,14.3306,122.4937,78.37,89,100,6.2,PH,1659199480
Flinders,-34.5833,150.8552,49.05,83,47,4.0,AU,1659199482
Atuona,-9.8,-139.0333,76.64,77,9,15.88,PF,1659199485
Butaritari,3.0707,172.7902,81.09,72,37,15.86,KI,1659199487
Springbok,-29.6643,17.8865,44.78,64,38,8.3,ZA,1659199489
Rikitea,-23.1203,-134.9692,72.86,75,26,16.98,PF,1659199492
Saint Paul Harbor,57.79,-152.4072,56.71,88,100,4.61,US,1659199494
Vaini,-21.2,-175.2,75.36,94,20,6.91,TO,1659199496
Sorong,-0.8833,131.25,79.21,83,79,3.94,ID,1659199498
Waipawa,-41.4122,175.5153,39.74,96,100,15.48,NZ,1659199501
Tilichiki,60.4667,166.1,49.75,94,100,7.74,RU,1659199503
Taltal,-25.4,-70.4833,61.29,66,72,3.18,CL,1659199506
Kavieng,-2.5744,150.7967,80.47,80,74,12.15,PG,1659199508
Vardø,70.3705,31.1107,49.98,93,100,16.11,NO,1659199510
Skellefteå,64.7507,20.9528,64.76,78,40,8.05,SE,1659199513
Margate,51.3813,1.3862,76.1,66,96,5.99,GB,1659199515
Jamestown,42.097,-79.2353,75.02,54,40,13.8,US,1659199296
Līsakovsk,52.5369,62.4936,63.55,77,86,8.95,KZ,1659199520
Mehamn,71.0357,27.8492,49.95,93,100,9.22,NO,1659199522
Oistins,13.0667,-59.5333,87.89,70,20,18.41,BB,1659199524
Santa Marta,11.2408,-74.199,91.45,62,20,8.05,CO,1659199317
Dolní Dobrouč,49.9927,16.4977,63.05,86,100,9.31,CZ,1659199529
Cologne,50.9333,6.95,82.94,37,0,9.22,DE,1659199531
Padang,-0.9492,100.3543,77.54,82,88,2.93,ID,1659199534
Praia,14.9215,-23.5087,81.14,65,75,11.5,CV,1659199536
Norman Wells,65.282,-126.8329,55.44,76,75,4.61,CA,1659199538
East London,-33.0153,27.9116,56.34,76,0,11.5,ZA,1659199540
Port Hedland,-20.3167,118.5667,66.25,63,97,6.91,AU,1659199543
San Patricio,28.017,-97.5169,95.07,39,43,12.93,US,1659199545
Avarua,-21.2078,-159.775,75.25,88,75,12.66,CK,1659199472
Vestmannaeyjar,63.4427,-20.2734,52.79,76,0,24.16,IS,1659199550
Hobyo,5.3505,48.5268,76.08,83,51,26.75,SO,1659199553
Tuktoyaktuk,69.4541,-133.0374,39.2,75,75,3.44,CA,1659199555
Vila Velha,-20.3297,-40.2925,75.15,73,75,17.27,BR,1659199557
Razdolnaya,45.3799,39.5557,83.98,31,68,14.65,RU,1659199560
Bathsheba,13.2167,-59.5167,88.41,88,20,18.41,BB,1659199562
Chokurdakh,70.6333,147.9167,49.17,88,1,3.51,RU,1659199564
Bengkulu,-3.8004,102.2655,77.61,84,100,4.14,ID,1659199567
Natal,-5.795,-35.2094,82.62,83,75,11.5,BR,1659199440
Sørland,67.667,12.6934,60.66,65,8,6.62,NO,1659199571
Khasan,42.4308,130.6434,71.04,98,74,0.49,RU,1659199574
Katsuura,35.1333,140.3,79.77,90,1,14.03,JP,1659199576
Arys,42.4252,68.795,80.96,29,0,7.05,KZ,1659199578
College,64.8569,-147.8028,61.29,63,75,0.0,US,1659199581
Mercedes,-34.6515,-59.4307,68.86,40,0,7.87,AR,1659199583
Byron Bay,-28.65,153.6167,51.94,69,93,3.94,AU,1659199380
Reconquista,-29.15,-59.65,66.65,34,5,8.7,AR,1659199510
Vila Franca do Campo,37.7167,-25.4333,77.41,67,82,4.79,PT,1659199590
Ivanteyevka,55.9711,37.9208,71.26,56,4,4.32,RU,1659199592
Nioro,13.35,-15.75,83.23,71,97,11.95,GM,1659199595
Carnarvon,-24.8667,113.6333,62.83,60,58,17.67,AU,1659199597
Thompson,55.7435,-97.8558,57.36,62,75,10.36,CA,1659199553
Gijang,35.2442,129.2139,82.13,94,95,6.4,KR,1659199601
Barrow,71.2906,-156.7887,37.92,84,100,7.9,US,1659199604
Kapaa,22.0752,-159.319,75.52,90,75,4.61,US,1659199570
Portland,45.5234,-122.6762,84.99,63,6,5.01,US,1659199311
Ribeira Grande,38.5167,-28.7,77.4,73,75,8.05,PT,1659199610
Beloha,-25.1667,45.05,70.47,68,64,3.74,MG,1659199612
George Town,5.4112,100.3354,83.95,92,20,2.3,MY,1659199615
Hong Kong,22.2855,114.1577,87.33,86,30,1.01,HK,1659199617
Fare,-16.7,-151.0167,78.84,68,0,24.34,PF,1659199619
Mar del Plata,-38.0023,-57.5575,62.62,60,0,3.0,AR,1659199345
